# English — 1990s to today. Format: Artist | Title | Year

# --- 90s ---
Nirvana | Smells Like Teen Spirit | 1991
Nirvana | Come as You Are | 1991
Nirvana | Heart-Shaped Box | 1993
Oasis | Wonderwall | 1995
Oasis | Don't Look Back in Anger | 1996
Oasis | Champagne Supernova | 1996
Oasis | Stop Crying Your Heart Out | 2002
Oasis | Live Forever | 1994
Oasis | Whatever | 1994
Blur | Song 2 | 1997
Blur | Parklife | 1994
Blur | Girls & Boys | 1994
Pulp | Common People | 1995
The Verve | Bitter Sweet Symphony | 1997
The Cranberries | Zombie | 1994
The Cranberries | Linger | 1993
The Cranberries | Dreams | 1992
Radiohead | Creep | 1992
Radiohead | Karma Police | 1997
Radiohead | High and Dry | 1995
R.E.M. | Losing My Religion | 1991
R.E.M. | Everybody Hurts | 1992
R.E.M. | Man on the Moon | 1992
R.E.M. | Shiny Happy People | 1991
R.E.M. | It's the End of the World as We Know It (And I Feel Fine) | 1987
Pearl Jam | Alive | 1991
Pearl Jam | Black | 1991
Soundgarden | Black Hole Sun | 1994
Stone Temple Pilots | Interstate Love Song | 1994
Alice in Chains | Man in the Box | 1990
Red Hot Chili Peppers | Californication | 1999
Red Hot Chili Peppers | Under the Bridge | 1991
Red Hot Chili Peppers | Scar Tissue | 1999
Red Hot Chili Peppers | Otherside | 1999
Red Hot Chili Peppers | Can't Stop | 2002
Red Hot Chili Peppers | By the Way | 2002
Red Hot Chili Peppers | Snow (Hey Oh) | 2006
Red Hot Chili Peppers | Give It Away | 1991
Metallica | Enter Sandman | 1991
Metallica | Nothing Else Matters | 1991
Metallica | The Unforgiven | 1991
Bon Jovi | Keep the Faith | 1992
Guns N' Roses | Civil War | 1991
Extreme | More Than Words | 1990
Mr. Big | To Be with You | 1991
Skid Row | I Remember You | 1989
The Black Crowes | Hard to Handle | 1990
Lenny Kravitz | Are You Gonna Go My Way | 1993
Lenny Kravitz | Fly Away | 1998
Lenny Kravitz | American Woman | 1999
4 Non Blondes | What's Up? | 1992
Alanis Morissette | Ironic | 1995
Alanis Morissette | You Oughta Know | 1995
Alanis Morissette | Hand in My Pocket | 1995
Sheryl Crow | All I Wanna Do | 1994
Sheryl Crow | If It Makes You Happy | 1996
Sheryl Crow | Soak Up the Sun | 2002
No Doubt | Don't Speak | 1995
No Doubt | Just a Girl | 1995
Hootie & the Blowfish | Only Wanna Be with You | 1994
Counting Crows | Mr. Jones | 1993
Counting Crows | Accidentally in Love | 2004
Goo Goo Dolls | Iris | 1998
Goo Goo Dolls | Slide | 1998
Matchbox Twenty | 3AM | 1996
Matchbox Twenty | Unwell | 2003
Third Eye Blind | Semi-Charmed Life | 1997
Semisonic | Closing Time | 1998
Sugar Ray | Every Morning | 1999
Smash Mouth | All Star | 1999
Smash Mouth | I'm a Believer | 2001
Harvey Danger | Flagpole Sitta | 1997
Fastball | The Way | 1998
Eagle-Eye Cherry | Save Tonight | 1997
New Radicals | You Get What You Give | 1998
Natalie Imbruglia | Torn | 1997
Chumbawamba | Tubthumping | 1997
Marcy Playground | Sex and Candy | 1997
Savage Garden | Truly Madly Deeply | 1997
Savage Garden | I Want You | 1996
Savage Garden | I Knew I Loved You | 1999
Spice Girls | Wannabe | 1996
Spice Girls | Say You'll Be There | 1996
Spice Girls | 2 Become 1 | 1996
Spice Girls | Spice Up Your Life | 1997
Spice Girls | Stop | 1997
Spice Girls | Viva Forever | 1998
Backstreet Boys | I Want It That Way | 1999
Backstreet Boys | Everybody (Backstreet's Back) | 1997
Backstreet Boys | As Long as You Love Me | 1997
Backstreet Boys | Quit Playing Games (With My Heart) | 1996
Backstreet Boys | Show Me the Meaning of Being Lonely | 1999
Backstreet Boys | Larger than Life | 1999
Backstreet Boys | Shape of My Heart | 2000
Backstreet Boys | Incomplete | 2005
*NSYNC | Bye Bye Bye | 2000
*NSYNC | It's Gonna Be Me | 2000
*NSYNC | Tearin' Up My Heart | 1997
*NSYNC | This I Promise You | 2000
Boyzone | No Matter What | 1998
Boyzone | Words | 1996
Westlife | Flying Without Wings | 1999
Westlife | Swear It Again | 1999
Westlife | You Raise Me Up | 2005
Westlife | Uptown Girl | 2001
Westlife | My Love | 2000
Take That | Back for Good | 1995
Take That | Never Forget | 1995
Take That | Relight My Fire | 1993
Take That | Patience | 2006
Take That | Shine | 2007
Robbie Williams | Angels | 1997
Robbie Williams | Feel | 2002
Robbie Williams | Rock DJ | 2000
Robbie Williams | Let Me Entertain You | 1998
Robbie Williams | Millennium | 1998
Robbie Williams | She's the One | 1999
Robbie Williams | Supreme | 2000
Robbie Williams & Nicole Kidman | Somethin' Stupid | 2001
Britney Spears | ...Baby One More Time | 1998
Britney Spears | Toxic | 2003
Britney Spears | Oops!...I Did It Again | 2000
Britney Spears | Sometimes | 1999
Britney Spears | Womanizer | 2008
Britney Spears | Circus | 2008
Britney Spears | Gimme More | 2007
Britney Spears | Lucky | 2000
Britney Spears | Stronger | 2000
Christina Aguilera | Genie in a Bottle | 1999
Christina Aguilera | Beautiful | 2002
Christina Aguilera | Dirrty | 2002
Christina Aguilera | Candyman | 2006
Christina Aguilera | Hurt | 2006
Christina Aguilera | What a Girl Wants | 1999
Christina Aguilera, Lil' Kim, Mýa & Pink | Lady Marmalade | 2001
Jessica Simpson | I Wanna Love You Forever | 1999
Mandy Moore | Candy | 1999
Mariah Carey | All I Want for Christmas Is You | 1994
Mariah Carey | Hero | 1993
Mariah Carey | Without You | 1994
Mariah Carey | Fantasy | 1995
Mariah Carey | We Belong Together | 2005
Mariah Carey | Always Be My Baby | 1996
Mariah Carey | Emotions | 1991
Mariah Carey & Boyz II Men | One Sweet Day | 1995
Boyz II Men | End of the Road | 1992
Boyz II Men | I'll Make Love to You | 1994
Celine Dion | My Heart Will Go On | 1997
Celine Dion | Because You Loved Me | 1996
Celine Dion | It's All Coming Back to Me Now | 1996
Celine Dion | The Power of Love | 1993
Celine Dion | I'm Your Angel | 1998
Celine Dion | That's the Way It Is | 1999
Celine Dion | Think Twice | 1994
Toni Braxton | Un-Break My Heart | 1996
Toni Braxton | He Wasn't Man Enough | 2000
Shania Twain | Man! I Feel Like a Woman! | 1997
Shania Twain | You're Still the One | 1997
Shania Twain | That Don't Impress Me Much | 1997
Shania Twain | From This Moment On | 1998
Shania Twain | Any Man of Mine | 1995
LeAnn Rimes | How Do I Live | 1997
LeAnn Rimes | Can't Fight the Moonlight | 2000
Faith Hill | This Kiss | 1998
Faith Hill | Breathe | 1999
Billy Ray Cyrus | Achy Breaky Heart | 1992
Garth Brooks | Friends in Low Places | 1990
Brooks & Dunn | Boot Scootin' Boogie | 1992
Wet Wet Wet | Love Is All Around | 1994
Des'ree | You Gotta Be | 1994
M People | Moving On Up | 1993
Lisa Stansfield | All Around the World | 1989
Seal | Kiss from a Rose | 1994
Seal | Crazy | 1991
Joan Osborne | One of Us | 1995
Jewel | You Were Meant for Me | 1995
Meredith Brooks | Bitch | 1997
Paula Cole | I Don't Want to Wait | 1996
The Cardigans | Lovefool | 1996
The Cardigans | My Favourite Game | 1998
Texas | Say What You Want | 1997
Texas | Summer Son | 1999
Aqua | Barbie Girl | 1997
Aqua | Doctor Jones | 1997
Aqua | Roses Are Red | 1996
Vengaboys | We Like to Party! (The Vengabus) | 1998
Vengaboys | Boom, Boom, Boom, Boom!! | 1998
Eiffel 65 | Blue (Da Ba Dee) | 1998
Haddaway | What Is Love | 1993
Snap! | Rhythm Is a Dancer | 1992
Snap! | The Power | 1990
Dr. Alban | It's My Life | 1992
2 Unlimited | No Limit | 1993
Culture Beat | Mr. Vain | 1993
Corona | The Rhythm of the Night | 1993
La Bouche | Be My Lover | 1995
Real McCoy | Another Night | 1993
Ace of Base | All That She Wants | 1992
Ace of Base | The Sign | 1993
Ace of Base | Happy Nation | 1992
Ace of Base | Don't Turn Around | 1994
Ace of Base | Beautiful Life | 1995
Scatman John | Scatman (Ski-Ba-Bop-Ba-Dop-Bop) | 1994
Whigfield | Saturday Night | 1994
Ricky Martin | Livin' la Vida Loca | 1999
Ricky Martin | She Bangs | 2000
Ricky Martin | The Cup of Life | 1998
Enrique Iglesias | Hero | 2001
Enrique Iglesias | Bailamos | 1999
Enrique Iglesias | Escape | 2001
Enrique Iglesias | Rhythm Divine | 1999
Jennifer Lopez | If You Had My Love | 1999
Jennifer Lopez | Waiting for Tonight | 1999
Jennifer Lopez | Jenny from the Block | 2002
Jennifer Lopez | On the Floor | 2011
Jennifer Lopez | Let's Get Loud | 1999
Jennifer Lopez | Love Don't Cost a Thing | 2001
Will Smith | Men in Black | 1997
Will Smith | Gettin' Jiggy wit It | 1998
Will Smith | Miami | 1998
Will Smith | Wild Wild West | 1999
Coolio | Gangsta's Paradise | 1995
TLC | No Scrubs | 1999
TLC | Waterfalls | 1995
TLC | Creep | 1994
Destiny's Child | Say My Name | 1999
Destiny's Child | Survivor | 2001
Destiny's Child | Bootylicious | 2001
Destiny's Child | Independent Women, Pt. 1 | 2000
Destiny's Child | Bills, Bills, Bills | 1999
Lauryn Hill | Doo Wop (That Thing) | 1998
Fugees | Killing Me Softly | 1996
Fugees | Ready or Not | 1996
Aaliyah | Try Again | 2000
Brandy & Monica | The Boy Is Mine | 1998
Salt-N-Pepa | Push It | 1987
Salt-N-Pepa | Shoop | 1993
En Vogue | Don't Let Go (Love) | 1996
MC Hammer | U Can't Touch This | 1990
Vanilla Ice | Ice Ice Baby | 1990
House of Pain | Jump Around | 1992
Sir Mix-a-Lot | Baby Got Back | 1992
Kris Kross | Jump | 1992
Tag Team | Whoomp! (There It Is) | 1993
Montell Jordan | This Is How We Do It | 1995
Notorious B.I.G. | Juicy | 1994
Notorious B.I.G. | Hypnotize | 1997
2Pac | California Love | 1995
2Pac | Changes | 1998
Puff Daddy | I'll Be Missing You | 1997
Warren G | Regulate | 1994
