# Español. Format: Artist | Title | Year

# --- clásicos ---
Julio Iglesias | Me Olvidé de Vivir | 1978
Julio Iglesias | Soy un Truhán, Soy un Señor | 1978
Julio Iglesias | Hey! | 1980
Julio Iglesias | La Vida Sigue Igual | 1969
Nino Bravo | Libre | 1972
Nino Bravo | Un Beso y una Flor | 1972
Nino Bravo | América, América | 1973
Camilo Sesto | Vivir Así Es Morir de Amor | 1978
Camilo Sesto | Perdóname | 1980
Camilo Sesto | Algo de Mí | 1972
Raphael | Mi Gran Noche | 1967
Raphael | Escándalo | 1992
Raphael | Yo Soy Aquel | 1966
Rocío Jurado | Como Una Ola | 1981
Rocío Dúrcal | La Gata Bajo la Lluvia | 1981
Rocío Dúrcal | Amor Eterno | 1984
José Luis Perales | Y Cómo Es Él | 1982
Joan Manuel Serrat | Mediterráneo | 1971
Joan Manuel Serrat | Lucía | 1971
Los Brincos | Flamenco | 1964
Karina | En un Mundo Nuevo | 1971
Massiel | La, La, La | 1968
Mocedades | Eres Tú | 1973
Los Diablos | Un Rayo de Sol | 1970
Fórmula V | Eva María | 1973
Georgie Dann | El Chiringuito | 1988
Georgie Dann | Macumba | 1985
Tino Casal | Eloise | 1987
Mecano | Hijo de la Luna | 1986
Mecano | La Fuerza del Destino | 1988
Mecano | Me Colé en una Fiesta | 1982
Mecano | Cruz de Navajas | 1986
Mecano | Me Cuesta Tanto Olvidarte | 1986
Mecano | Aire | 1988
Mecano | Hoy No Me Puedo Levantar | 1981
Mecano | Una Rosa es una Rosa | 1991
Mecano | Maquillaje | 1982
Mecano | Barco a Venus | 1983
Alaska y Dinarama | A Quién Le Importa | 1986
Alaska y Dinarama | Ni Tú Ni Nadie | 1985
Radio Futura | Escuela de Calor | 1984
Hombres G | Devuélveme a Mi Chica | 1985
Hombres G | Venezia | 1985
Hombres G | Te Quiero | 1990
Hombres G | Marta Tiene un Marcapasos | 1986
Hombres G | Voy a Pasármelo Bien | 1989
Los Secretos | Déjame | 1981
Nacha Pop | La Chica de Ayer | 1980
Duncan Dhu | En Algún Lugar | 1986
Duncan Dhu | Cien Gaviotas | 1986
El Último de la Fila | Insurrección | 1988
Loquillo | Cadillac Solitario | 1983
La Unión | Lobo Hombre en París | 1984
Los Rodríguez | Sin Documentos | 1993
Los Rodríguez | Mucho Mejor | 1991
Héroes del Silencio | Entre Dos Tierras | 1990
Héroes del Silencio | Maldito Duende | 1990
Héroes del Silencio | La Chispa Adecuada | 1993
Enrique Bunbury | Lady Blue | 2008
Barricada | Bahía de Pasaia | 1987
Extremoduro | So Payaso | 1996
Extremoduro | La Vereda de la Puerta de Atrás | 1989
Marea | Marea (Hoy No) | 2000
Fito & Fitipaldis | Soldadito Marinero | 2003
Fito & Fitipaldis | Por la Boca Vive el Pez | 2006
Fito & Fitipaldis | Me Equivocaría Otra Vez | 2009
Platero y Tú | Hay Poco Rock & Roll | 1994
Los Suaves | Dolores Se Llamaba Lola | 1984
Siniestro Total | Bailaré Sobre Tu Tumba | 1982
Tequila | Salta | 1978
Miguel Ríos | Himno de la Alegría | 1970
Miguel Ríos | Santa Lucía | 1980
Ana Belén & Víctor Manuel | La Puerta de Alcalá | 1986
Ana Torroja | Duende | 1997
Joaquín Sabina | 19 Días y 500 Noches | 1999
Joaquín Sabina | Y Nos Dieron las Diez | 1992
Joaquín Sabina | Contigo | 1996
Joaquín Sabina | Calle Melancolía | 1980
Joaquín Sabina | Pongamos que Hablo de Madrid | 1980
Alejandro Sanz | Corazón Partío | 1997
Alejandro Sanz | Amiga Mía | 1997
Alejandro Sanz | Y Si Fuera Ella | 1997
Alejandro Sanz | Mi Soledad y Yo | 1995
Alejandro Sanz | Cuando Nadie Me Ve | 2000
Alejandro Sanz | El Alma al Aire | 2000
Alejandro Sanz | No Es lo Mismo | 2003
Alejandro Sanz | Viviendo Deprisa | 1991
Shakira | La Tortura | 2005
Shakira | Ojos Así | 1998
Shakira | Chantaje | 2016
Shakira | Loca | 2010
Shakira | Estoy Aquí | 1995
Shakira | Dónde Están los Ladrones | 1998
Shakira | Suerte | 2001
Shakira | Te Felicito | 2022
Shakira | Antología | 1995
Shakira | Pies Descalzos, Sueños Blancos | 1996
Shakira | Inevitable | 1998
Shakira | Me Enamoré | 2017
Shakira | Clandestino | 2018
Shakira | Soltera | 2024
Enrique Iglesias | Bailando | 2014
Enrique Iglesias | Héroe | 2002
Enrique Iglesias | Experiencia Religiosa | 1995
Enrique Iglesias | Si Tú Te Vas | 1995
Enrique Iglesias | Nunca Te Olvidaré | 1999
Enrique Iglesias | Cuando Me Enamoro | 2010
Enrique Iglesias | Duele el Corazón | 2016
Enrique Iglesias | Súbeme la Radio | 2017
Enrique Iglesias | El Baño | 2018
Ricky Martin | María | 1995
Ricky Martin | La Copa de la Vida | 1998
Ricky Martin | Vente Pa' Ca | 2016
Ricky Martin | Tu Recuerdo | 2006
Ricky Martin | La Mordidita | 2015
Ricky Martin | Pégate | 2006
Ricky Martin | Vuelve | 1998
Ricky Martin | Fuego de Noche, Nieve de Día | 1995
Chayanne | Torero | 2002
Chayanne | Salomé | 1999
Chayanne | Tiempo de Vals | 1990
Chayanne | Dejaría Todo | 1998
Chayanne | Provócame | 1992
Luis Miguel | La Incondicional | 1989
Luis Miguel | Ahora Te Puedes Marchar | 1987
Luis Miguel | Culpable o No | 1988
Luis Miguel | Suave | 1993
Luis Miguel | Hasta Que Me Olvides | 1993
Luis Miguel | Cuando Calienta el Sol | 1988
Luis Miguel | Sabor a Mí | 1997
Luis Miguel | Decídete | 1982
Juan Gabriel | Querida | 1984
Juan Gabriel | Hasta Que Te Conocí | 1986
Juan Gabriel | Amor Eterno | 1990
Juan Gabriel | Así Fue | 1984
Juan Gabriel | Abrázame Muy Fuerte | 2000
Vicente Fernández | Volver, Volver | 1972
Vicente Fernández | El Rey | 1976
Vicente Fernández | Mujeres Divinas | 1987
Vicente Fernández | Hermoso Cariño | 1976
José José | El Triste | 1970
José José | Almohada | 1978
José José | Lo Dudo | 1978
Marco Antonio Solís | Si No Te Hubieras Ido | 1998
Los Bukis | Tu Cárcel | 1987
Los Temerarios | Te Quiero | 1992
Maná | Rayando el Sol | 1990
Maná | Oye Mi Amor | 1992
Maná | Clavado en un Bar | 1997
Maná | En el Muelle de San Blas | 1997
Maná | Vivir Sin Aire | 1992
Maná | Labios Compartidos | 2006
Maná | Mariposa Traicionera | 2002
Maná | ¿Dónde Jugarán los Niños? | 1992
Maná | Te Lloré un Río | 1992
Maná | Corazón Espinado | 1999
Maná | Eres Mi Religión | 2002
Maná | Bendita Tu Luz | 2006
Maná | El Verdadero Amor Perdona | 2011
Café Tacvba | Eres | 2003
Café Tacvba | Las Flores | 1994
Café Tacvba | La Ingrata | 1994
Caifanes | La Célula Que Explota | 1990
Caifanes | Afuera | 1994
Molotov | Puto | 1997
El Tri | Triste Canción | 1985
Soda Stereo | De Música Ligera | 1990
Soda Stereo | Persiana Americana | 1986
Soda Stereo | Cuando Pase el Temblor | 1985
Soda Stereo | En la Ciudad de la Furia | 1988
Soda Stereo | Nada Personal | 1985
Soda Stereo | Prófugos | 1986
Soda Stereo | Te Para Tres | 1990
Soda Stereo | Zoom | 1995
Gustavo Cerati | Crimen | 2006
Gustavo Cerati | Puente | 1999
Los Enanitos Verdes | Lamento Boliviano | 1994
Los Enanitos Verdes | La Muralla Verde | 1986
Los Prisioneros | El Baile de los que Sobran | 1986
Los Prisioneros | Tren al Sur | 1990
Los Fabulosos Cadillacs | Matador | 1993
Los Fabulosos Cadillacs | Vasos Vacíos | 1993
Los Auténticos Decadentes | La Guitarra | 1995
Los Pericos | Runaway | 1994
Charly García | Demoliendo Hoteles | 1984
Fito Páez | Mariposa Tecknicolor | 1994
Fito Páez | A Rodar Mi Vida | 1990
Andrés Calamaro | Flaca | 1997
Andrés Calamaro | Crímenes Perfectos | 1999
Andrés Calamaro | Paloma | 1997
Los Abuelos de la Nada | Mil Horas | 1983
Bersuit Vergarabat | Mi Caramelo | 2004
Vilma Palma e Vampiros | La Pachanga | 1992
Aterciopelados | Bolero Falaz | 1995
La Ley | Mentira | 2000
La Ley | El Duelo | 1995
La Ley | Día Cero | 2000
Jaguares | Te Lo Pido por Favor | 1999
Juanes | La Camisa Negra | 2004
Juanes | A Dios le Pido | 2002
Juanes | Es por Ti | 2002
Juanes | Me Enamora | 2007
Juanes | Fotografía | 2002
Juanes | Volverte a Ver | 2004
Juanes | Mala Gente | 2002
Juanes | La Paga | 2002
Juanes | Nada Valgo Sin Tu Amor | 2004
Carlos Vives | La Bicicleta | 2016
Carlos Vives | La Gota Fría | 1993
Carlos Vives | Fruta Fresca | 1999
Carlos Vives | Volví a Nacer | 2012
Carlos Vives | Robarte un Beso | 2017
Carlos Vives | Pa' Mayté | 1995
Fonseca | Te Mando Flores | 2005
Jesse & Joy | ¡Corre! | 2011
Jesse & Joy | Espacio Sideral | 2006
Jesse & Joy | Dueles | 2015
Julieta Venegas | Me Voy | 2006
Julieta Venegas | Andar Conmigo | 2004
Julieta Venegas | Limón y Sal | 2006
Julieta Venegas | Lento | 2003
Natalia Lafourcade | Hasta la Raíz | 2015
Natalia Lafourcade | En el 2000 | 2003
Natalia Lafourcade | Mi Tierra Veracruzana | 2017
