# Français. Format: Artist | Title | Year
Stromae | Alors on danse | 2009
Stromae | Papaoutai | 2013
Stromae | Formidable | 2013
Stromae | Tous les mêmes | 2013
Stromae | Santé | 2021
Stromae | L'enfer | 2022
Stromae | Ta fête | 2013
Édith Piaf | La Vie en rose | 1947
Édith Piaf | Non, je ne regrette rien | 1960
Édith Piaf | Hymne à l'amour | 1950
Édith Piaf | Padam, padam... | 1951
Édith Piaf | Milord | 1959
Indila | Dernière danse | 2013
Indila | Tourner dans le vide | 2014
Indila | S.O.S | 2014
Joe Dassin | Les Champs-Élysées | 1969
Joe Dassin | L'été indien | 1975
Joe Dassin | Et si tu n'existais pas | 1975
Joe Dassin | À toi | 1976
Zaz | Je veux | 2010
Zaz | On ira | 2013
Aya Nakamura | Djadja | 2018
Aya Nakamura | Pookie | 2019
Aya Nakamura | Copines | 2018
Angèle | Balance ton quoi | 2019
Angèle | Tout oublier | 2018
Angèle | Bruxelles je t'aime | 2021
Angèle | La Loi de Murphy | 2018
Céline Dion | Pour que tu m'aimes encore | 1995
Céline Dion | S'il suffisait d'aimer | 1998
Céline Dion | On ne change pas | 1998
Jacques Brel | Ne me quitte pas | 1959
Jacques Brel | Amsterdam | 1964
Jacques Brel | La Valse à mille temps | 1959
Charles Aznavour | La Bohème | 1965
Charles Aznavour | Emmenez-moi | 1967
Charles Aznavour | Hier encore | 1964
Charles Aznavour | For me formidable | 1963
Louane | Jour 1 | 2015
Louane | Avenir | 2015
Louane | maman | 2025
Kendji Girac | Andalouse | 2014
Kendji Girac | Color Gitano | 2014
Kendji Girac | Tiago | 2018
Dalida | Paroles, paroles | 1973
Dalida | Gigi l'amoroso | 1974
Dalida | Laissez-moi danser | 1979
Dalida | Bambino | 1956
Mylène Farmer | Désenchantée | 1991
Mylène Farmer | Libertine | 1986
Mylène Farmer | Sans contrefaçon | 1987
Francis Cabrel | Je l'aime à mourir | 1979
Francis Cabrel | Petite Marie | 1977
Francis Cabrel | La Corrida | 1994
Jean-Jacques Goldman | Je te donne | 1985
Jean-Jacques Goldman | Quand la musique est bonne | 1982
Jean-Jacques Goldman | Encore un matin | 1984
